switch,timestamp,Average Flow Duration ,Average Packets Per Flow ,Bridge Controller Status,CPU Utilization,Rate of Packet in Messages ,Rate of Port Flapping ,Interface Utilization,label
s1,"2025-04-01 17:47:58,2025-04-01 17:48:08,2025-04-01 17:48:18,2025-04-01 17:48:28,2025-04-01 17:48:38,2025-04-01 17:48:48,2025-04-01 17:48:58,2025-04-01 17:49:08,2025-04-01 17:49:18,2025-04-01 17:49:28,2025-04-01 17:49:38,2025-04-01 17:49:48,2025-04-01 17:49:58,2025-04-01 17:50:08,2025-04-01 17:50:18,2025-04-01 17:50:28,2025-04-01 17:50:38,2025-04-01 17:50:48,2025-04-01 17:50:58,2025-04-01 17:51:08,2025-04-01 17:51:18,2025-04-01 17:51:28,2025-04-01 17:51:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","[0,0,6.5,8.6,18.133333333333333,23.4,20.666666666666668,14.125,17.166666666666668,9.818181818181818,16.53846153846154,16.153846153846153,16.153846153846153,17.727272727272727,23.363636363636363,24.09090909090909,11.5,15.75,11.727272727272727,16.363636363636363,15.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[0,0,5.666666666666667,11,20.6,25.266666666666666,20.583333333333332,15.875,18.75,11.909090909090908,18.153846153846153,18.923076923076923,18.923076923076923,19.818181818181817,27.181818181818183,26.454545454545453,15.375,18.125,12.363636363636363,14.181818181818182,4.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[3.2792424984310675,7.365618836121878,9.286431051784009,15.055951169888097,15.745533420463676,16.6965064974938,19.743149385807,20.941234888035257,21.641453936048055,23.09631279676417,24.151724137931037,25.717064020248138,27.48275862068966,28.975961986075816,30.176382351419853,30.57596750333622,32.03092403129645,32.797456481558115,34.474078058940776,34.47122513016792,34.47158172044123,34.10286029551215,33.86183543561769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[0.017063382596681907,0.017063798581129858,0.017063745216838566,0.017063181428924486,0.017063810906465922,0.017063783644552993,0.006897170091111617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[[9.782159474196429e-09,1.201171158553259e-08,1.295520313304061e-08,2.3149629392630512e-08,4.7796007495756194e-08,7.9449689308478e-08,1.1068557257709691e-07,1.1005113231068712e-07,1.0012736390066947e-07,9.785079561892953e-08,8.253996826539727e-08,7.146523736191943e-08,1.1911476459058363e-07,1.6506003213269068e-07,1.5800930741125956e-07,1.3443935545377574e-07,1.1405017634391398e-07,7.458000000000001e-08,5.226666666666667e-08,5.501566353395989e-08,5.501126351288306e-08,5.301151815709486e-08,4.455910881782364e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[9.782159474196429e-09,1.2368528115141697e-08,1.4224993483970566e-08,1.8795944337051354e-08,6.170648419028886e-08,9.343747499799983e-08,9.199632014719412e-08,9.045152430284726e-08,7.900896215091621e-08,4.034091287856062e-08,1.7100684027361093e-09,7.933174669839936e-10,8.700348013920557e-10,1.5966347339719872e-09,3.889977864895858e-08,3.889744461555898e-08,8.466841343813963e-08,1.0447333333333334e-07,1.0445333333333334e-07,1.0764513763913885e-07,1.0763652843870384e-07,6.165680157841412e-08,4.149917001659967e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[9.782159474196429e-09,1.2368528115141697e-08,1.52140933362739e-08,3.88909285243449e-08,6.11135786262596e-08,6.985558844707576e-08,6.837059850939296e-08,6.784530976047147e-08,4.903510175775519e-08,4.874040890879881e-08,4.6625198341266986e-08,4.551908961820764e-08,4.359174366974679e-08,3.905588554895569e-08,4.062658346001013e-08,2.708387501083355e-08,5.100639371695635e-08,6.602666666666667e-08,6.478666666666667e-08,3.9292141571685665e-08,3.928899908025753e-08,1.5377539593665013e-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.878934527856657e-09,1.201171158553259e-08,2.6889481457719318e-08,5.331077800737679e-08,9.453105612926707e-08,1.137757687281649e-07,1.2390504379824808e-07,1.3145070431924694e-07,1.221326451681737e-07,7.773866901319253e-08,5.313212528501139e-08,5.006566535335959e-08,4.7358561009107023e-08,2.985606954527576e-08,2.985905539109795e-08,2.98572638119429e-08,1.9651179070744247e-08,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.645629191163727e-09,1.201171158553259e-08,1.295520313304061e-08,6.913183242234368e-09,6.72682755940623e-09,6.500520041603328e-09,7.0363852112582165e-09,5.07389852202956e-08,8.986490090955161e-08,1.1344985967508615e-07,1.3526207714975264e-07,1.3409065152030294e-07,8.983359334373375e-08,4.929568075305161e-08,2.540536576259434e-08,3.3233998013293597e-09,5.900354021241275e-10,2.3333333333333335e-10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.645629191163727e-09,1.201171158553259e-08,1.295520313304061e-08,6.913183242234368e-09,6.72682755940623e-09,6.500520041603328e-09,4.009839606415744e-09,3.606594534775971e-09,9.859032834546958e-09,3.391463178875934e-08,7.287958184994066e-08,1.26644133783991e-07,1.5294945131138577e-07,1.8451964294047454e-07,1.8595154279008984e-07,1.4669960065867986e-07,9.206219039809055e-08,8.307333333333333e-08,6.08e-08,3.937879090848497e-08,4.02287359539329e-08,4.066016104090012e-08,2.2839543209135817e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[1.3495047260995347e-08,1.8494434329084886e-08,3.593506693131771e-08,1.0509475616214137e-07,2.3074933210534065e-07,3.3447895948342536e-07,3.7962131025870074e-07,4.3507796510736453e-07,4.3705822730788726e-07,3.5135225219820147e-07,2.8969158766350657e-07,3.254401578635094e-07,3.504873528274464e-07,3.6487936907928505e-07,3.721164359815451e-07,3.1758635172703456e-07,2.5743544612676764e-07,1.9394e-07,1.5082e-07,1.618409651403053e-07,1.626811159541995e-07,1.3932437476670399e-07,1.0935781284374312e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]]",0
s2,"2025-04-01 17:47:58,2025-04-01 17:48:08,2025-04-01 17:48:18,2025-04-01 17:48:28,2025-04-01 17:48:38,2025-04-01 17:48:48,2025-04-01 17:48:58,2025-04-01 17:49:08,2025-04-01 17:49:18,2025-04-01 17:49:28,2025-04-01 17:49:38,2025-04-01 17:49:48,2025-04-01 17:49:58,2025-04-01 17:50:08,2025-04-01 17:50:18,2025-04-01 17:50:28,2025-04-01 17:50:38,2025-04-01 17:50:48,2025-04-01 17:50:58,2025-04-01 17:51:08,2025-04-01 17:51:18,2025-04-01 17:51:28,2025-04-01 17:51:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","[0,2.7142857142857144,8.25,13,20.608695652173914,25.423076923076923,19.17391304347826,20.523809523809526,26.16,21.28,25.47826086956522,22.692307692307693,22.692307692307693,23.56,31.391304347826086,37.142857142857146,31.263157894736842,28.941176470588236,34.05555555555556,33.095238095238095,15.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[0,125.57142857142857,432.25,500.7,663,781.0384615384615,1067.8695652173913,1397.7619047619048,1380.48,1581.72,1927,1900.6923076923076,1900.6923076923076,2174.6,2600.1739130434785,3094.3809523809523,3656.1052631578946,4379.705882352941,4405,3898.0476190476193,3.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[5.124031916581037,12.272583070111313,14.783115454510972,20.76314292118558,22.473421222330657,24.834328569309477,29.068123348989907,32.16874366383681,33.14149359135721,35.50652924280093,37.293103448275865,39.61007165467825,43.97586206896552,45.45188086855472,47.100812082966954,49.465687812716595,50.74120434067469,51.90832850561396,55.019897512293696,55.01534429847246,55.01591340898667,54.036999362079975,54.27893600733789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[0.017063382596681907,0.017063798581129858,0.017063745216838566,0.017063181428924486,0.017063810906465922,0.017063783644552993,0.010345755136667426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[[9.782159474196429e-09,0.00008470970473526658,0.000515616220729439,0.0009564437346160169,0.0014356619940345114,0.0018203817066680334,0.0022355472934610394,0.002279083178336433,0.0022718741998079537,0.0022703566286022842,0.0022798257630305212,0.0022898533029339415,0.002290037538168193,0.0022853868755958215,0.0022810832366589326,0.0018213746908271498,0.0018152944276656601,0.0018195440933333334,0.001820532926666667,0.0016867922015596883,0.001686657295957132,0.0012343645016797311,0.0007754351246308407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[9.782159474196429e-09,1.434269059671729e-08,1.694501807780473e-08,7.05753746067296e-08,1.408561192653159e-07,1.8797748247637587e-07,1.983520659173633e-07,2.1838229902068624e-07,1.804333039929583e-07,1.2770233785972843e-07,9.782057948984625e-08,1.0171796564068719e-07,7.97198554608851e-08,6.402871942561147e-08,5.3534282742619406e-08,2.961059221184424e-08,4.650612370075538e-08,6.563333333333333e-08,6.912e-08,8.704925681530363e-08,8.704229482411592e-08,5.294486215538846e-08,3.323266867995973e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[9.548854137503499e-09,1.2368528115141697e-08,1.295520313304061e-08,5.86185178395967e-09,5.749887436898679e-09,7.323919246873082e-09,1.0872898417396639e-08,5.0458990820183596e-08,9.693993225040677e-08,1.493077082041744e-07,1.7741709668386736e-07,1.927161456770865e-07,1.6676333720015465e-07,1.4278714425711485e-07,1.1403912312985037e-07,8.393167863357269e-08,8.294831023194726e-08,9.268000000000001e-08,7.654666666666667e-08,5.261614343797908e-08,5.261193532477573e-08,3.19348904175332e-08,8.019839603207936e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.878934527856657e-09,1.201171158553259e-08,1.295520313304061e-08,6.6416216109457015e-09,2.4953429992609816e-08,3.712963703762967e-08,5.489447088783116e-08,7.817843643127138e-08,9.481275506121468e-08,9.971735029231579e-08,1.09594383775351e-07,1.0475123830856717e-07,1.3542208355000868e-07,1.6012013093071472e-07,1.599161266234632e-07,1.3598605305439444e-07,1.242707895807082e-07,6.940000000000001e-08,2.6420000000000004e-08,6.525361594347799e-09,6.524839711547434e-09,2.1863168559697114e-09,2.4199516009679806e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.878934527856657e-09,1.201171158553259e-08,1.295520313304061e-08,6.6416216109457015e-09,6.474481402300958e-09,6.267168040109874e-09,4.009839606415744e-09,3.606594534775971e-09,2.223867061428076e-09,1.9432167403289137e-09,1.6633998693281063e-09,7.933174669839936e-10,6.366921343520407e-10,5.899882002359952e-10,8.233992052697548e-10,8.2334980032934e-10,7.830469828189692e-09,2.955333333333333e-08,5.3240000000000006e-08,7.606478704259148e-08,7.605870356300237e-08,6.906228336799446e-08,4.6992393485463624e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.645629191163727e-09,1.201171158553259e-08,1.295520313304061e-08,6.913183242234368e-09,6.72682755940623e-09,6.73387204309678e-09,4.503153207205045e-09,6.599868002639947e-09,2.1508495372222665e-08,3.844102687172103e-08,3.7931517260690424e-08,3.70325926814797e-08,3.43780417883382e-08,1.8042972473883854e-08,8.233992052697548e-10,8.2334980032934e-10,1.5097572521017933e-08,3.866e-08,4.644666666666666e-08,4.64373791908285e-08,4.643366524039935e-08,3.19348904175332e-08,8.019839603207936e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[1.3495047260995347e-08,1.8494434329084886e-08,3.593506693131771e-08,1.0509475616214137e-07,2.3074933210534065e-07,3.3447895948342536e-07,3.7962131025870074e-07,4.3507796510736453e-07,4.3705822730788726e-07,3.5135225219820147e-07,2.8969158766350657e-07,3.254401578635094e-07,3.504873528274464e-07,3.6487936907928505e-07,3.721164359815451e-07,3.1758635172703456e-07,2.5743544612676764e-07,1.9394e-07,1.5082e-07,1.618409651403053e-07,1.626811159541995e-07,1.3932437476670399e-07,1.0935781284374312e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[1.3495047260995347e-08,0.00008569318609927281,0.0005166165920318428,0.001033871933468223,0.0014359688059829919,0.0018208114243882289,0.002236008999075815,0.002279652753611594,0.0022724620775652826,0.0022708648681079137,0.002280232022614238,0.002290266494670106,0.0022904651252716774,0.0022858337566582,0.0022815258153985655,0.0018217802289379123,0.00181525456860745,0.0018198833533333335,0.0018207883199999999,0.0016870365593547958,0.001686902487303555,0.0012350141977283636,0.0007755830616720999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]]",2
s3,"2025-04-01 17:47:58,2025-04-01 17:48:08,2025-04-01 17:48:18,2025-04-01 17:48:28,2025-04-01 17:48:38,2025-04-01 17:48:48,2025-04-01 17:48:58,2025-04-01 17:49:08,2025-04-01 17:49:18,2025-04-01 17:49:28,2025-04-01 17:49:38,2025-04-01 17:49:48,2025-04-01 17:49:58,2025-04-01 17:50:08,2025-04-01 17:50:18,2025-04-01 17:50:28,2025-04-01 17:50:38,2025-04-01 17:50:48,2025-04-01 17:50:58,2025-04-01 17:51:08,2025-04-01 17:51:18,2025-04-01 17:51:28,2025-04-01 17:51:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","[0,3,7.928571428571429,13.458333333333334,21.333333333333332,24.85185185185185,19.72222222222222,20.68421052631579,25.041666666666668,24.954545454545453,26.08695652173913,25.130434782608695,25.130434782608695,24.615384615384617,27.666666666666668,32.76923076923077,29.666666666666668,29,34,33.17391304347826,14.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[0,125.71428571428571,372.07142857142856,421.375,569.8518518518518,751.8148148148148,1359.0555555555557,1542.157894736842,1435.6666666666667,1798,1927.2173913043478,2144.0434782608695,2144.0434782608695,2092.6153846153848,2216.5925925925926,2494.423076923077,2900.7083333333335,3392.681818181818,3969.3,3562.7391304347825,3.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[5.3516134148948655,12.641553676602436,14.779667095412648,21.52525130610204,22.980340498022326,25.57601222570641,29.89923234496886,32.35839752829291,32.97942406697954,34.909983689823896,37.09655172413793,38.40663167840222,42.351724137931036,45.73119217652475,48.06979430679839,50.54500187931683,53.02050682583854,54.587712764490064,56.885504817473944,56.825626702527494,56.82621453964904,56.0886881260668,56.08926834987346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[0.017063382596681907,0.017063798581129858,0.017063745216838566,0.017063181428924486,0.017063810906465922,0.017063783644552993,0.0034485850455558084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]","[[9.782159474196429e-09,0.000083610976948096,0.0005153480991940173,0.0009549514762553548,0.00143270592326296,0.0018195867208042754,0.0022337424082980012,0.002278661126777465,0.002272758518711157,0.002271209504096421,0.002279318089390242,0.0022879968733958652,0.00228993545408483,0.002285043502463284,0.00228137656679201,0.001820842073508137,0.0018174346560793648,0.0018199645333333333,0.0018207595466666665,0.0016885842364860362,0.0016884491875608161,0.0012361631538953767,0.000776765184696306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[9.782159474196429e-09,1.2368528115141697e-08,2.6361515996016863e-08,6.071695195435398e-08,1.0021928406915652e-07,1.1723271195028935e-07,1.1574203698518728e-07,1.0209129150750319e-07,6.848643674481874e-08,3.7207767533947964e-08,3.811152446097844e-08,6.092544815770351e-08,6.71860207741643e-08,6.684199649340346e-08,5.484772115102541e-08,3.092395181236958e-08,7.003753558546847e-09,1.2033333333333334e-08,5.254666666666668e-08,9.22282210224622e-08,9.222084483011424e-08,9.223190956113688e-08,8.067838643227135e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[9.782159474196429e-09,1.2368528115141697e-08,1.4191577948419777e-08,3.998420497637352e-08,7.909620891989431e-08,1.0203149585300156e-07,1.0030932096049493e-07,9.879802403951921e-08,8.519044570696965e-08,6.755261350985607e-08,5.166539994933131e-08,5.1258974820503585e-08,5.133872021547528e-08,3.8282567681979694e-08,2.617876096754407e-08,1.263691940505477e-08,3.4252055123307406e-08,5.781333333333333e-08,7.135333333333333e-08,5.9528094381123784e-08,5.952333346662935e-08,3.745400735882259e-08,1.3539729205415891e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.878934527856657e-09,1.201171158553259e-08,1.295520313304061e-08,1.6898892369906233e-08,4.5241708965735677e-08,6.292503400272021e-08,6.872725090996361e-08,6.855862882742345e-08,5.8377343895868335e-08,3.4161283656313955e-08,2.457764977265757e-08,3.2859342813143735e-08,4.244503113457871e-08,6.708865822683547e-08,1.1471251033416004e-07,1.000920018400368e-07,1.1113666820009202e-07,1.1830000000000002e-07,9.337333333333333e-08,4.5750849830033994e-08,4.574719078657976e-08,1.7497200447928332e-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.645629191163727e-09,1.201171158553259e-08,1.295520313304061e-08,3.4264147743263866e-08,5.010976587569491e-08,4.418353468277462e-08,4.168833246670134e-08,4.128584094984767e-08,1.944800085353818e-08,1.9432167403289137e-09,1.6633998693281063e-09,7.933174669839936e-10,6.366921343520407e-10,1.5966347339719872e-09,2.6618796170360292e-08,2.661719901064688e-08,5.053969904860959e-08,6.740000000000001e-08,8.322e-08,7.724455108978205e-08,7.723837325548847e-08,5.3331466965285555e-08,3.611927761444771e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[8.645629191163727e-09,1.201171158553259e-08,1.295520313304061e-08,2.4331922163464618e-08,5.128906155799488e-08,4.973064511827613e-08,4.89813740783702e-08,8.81982360352793e-08,1.1953202101837771e-07,1.4313474524861843e-07,1.6863007853647476e-07,1.7034325980147064e-07,1.3057522300892035e-07,8.310167129990734e-08,3.603954983065311e-08,5.9367854023747155e-09,1.703102186131168e-08,3.757333333333334e-08,3.710666666666667e-08,3.632606811970939e-08,3.6323162847735964e-08,2.0896656534954406e-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[1.3495047260995347e-08,0.00008361749662769476,0.0005153713918754581,0.0010311845027906465,0.0014329759099120125,0.0018199811431957335,0.002234185849732455,0.002279212642413818,0.0022733318863193833,0.0022717397756134633,0.0022797949651319387,0.002288515509689806,0.002290465485286078,0.002285617740978514,0.0022819624503293595,0.0018213418601705368,0.001817880486162503,0.0018203224533333334,0.0018210059600000002,0.0016887870092648141,0.0016886527972167793,0.0012363270876659734,0.0007768961354106252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,],[1.3138423389193298e-08,2.120890774125133e-08,5.131957949890062e-08,1.69563914255877e-07,2.836214049958743e-07,3.403498836573592e-07,3.8185712904817137e-07,4.241981827030126e-07,3.9180736710143764e-07,3.6567139304975036e-07,3.7600170673493605e-07,4.2851142977140456e-07,4.768257396962545e-07,5.726752131624034e-07,6.340173880577112e-07,5.553844410221537e-07,5.748211559360229e-07,5.458866666666667e-07,4.545533333333334e-07,3.9331467039925355e-07,3.9413630850028657e-07,2.779421959153202e-07,1.8837623247535048e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,]]",2
