timestamp,Average Flow Duration - s1,Average Flow Duration - s2,Average Flow Duration - s3,Average Flow Duration - s4,Average Flow Duration - s5,Average Packets Per Flow - s1,Average Packets Per Flow - s2,Average Packets Per Flow - s3,Average Packets Per Flow - s4,Average Packets Per Flow - s5,Bridge Controller Status,CPU Utilization,Interface Utilization Percentage - s1-eth1,Interface Utilization Percentage - s1-eth2,Interface Utilization Percentage - s1-eth3,Interface Utilization Percentage - s1-eth4,Interface Utilization Percentage - s1-eth5,Interface Utilization Percentage - s1-eth6,Interface Utilization Percentage - s1-eth7,Interface Utilization Percentage - s2-eth1,Interface Utilization Percentage - s2-eth2,Interface Utilization Percentage - s2-eth3,Interface Utilization Percentage - s2-eth4,Interface Utilization Percentage - s2-eth5,Interface Utilization Percentage - s2-eth6,Interface Utilization Percentage - s2-eth7,Interface Utilization Percentage - s2-eth8,Interface Utilization Percentage - s3-eth1,Interface Utilization Percentage - s3-eth2,Interface Utilization Percentage - s3-eth3,Interface Utilization Percentage - s3-eth4,Interface Utilization Percentage - s3-eth5,Interface Utilization Percentage - s3-eth6,Interface Utilization Percentage - s3-eth7,Interface Utilization Percentage - s3-eth8,Interface Utilization Percentage - s4-eth1,Interface Utilization Percentage - s4-eth2,Interface Utilization Percentage - s4-eth3,Interface Utilization Percentage - s4-eth4,Interface Utilization Percentage - s4-eth5,Interface Utilization Percentage - s4-eth6,Interface Utilization Percentage - s4-eth7,Interface Utilization Percentage - s4-eth8,Interface Utilization Percentage - s5-eth1,Interface Utilization Percentage - s5-eth2,Interface Utilization Percentage - s5-eth3,Interface Utilization Percentage - s5-eth4,Interface Utilization Percentage - s5-eth5,Interface Utilization Percentage - s5-eth6,Interface Utilization Percentage - s5-eth7,Rate of Packet in Messages - s1,Rate of Packet in Messages - s2,Rate of Packet in Messages - s3,Rate of Packet in Messages - s4,Rate of Packet in Messages - s5,Rate of Port Flapping - s1,Rate of Port Flapping - s2,Rate of Port Flapping - s3,Rate of Port Flapping - s4,Rate of Port Flapping - s5
2025-04-02 07:18:53,0,0,0,0,0,0,0,0,0,0,1,1.1,2.5386240872261684e-09,3.3361994709523976e-09,3.6766279883965194e-09,3.6766279883965194e-09,4.196997293632535e-09,4.834084947706535e-09,6.215252075622688e-09,0,0,0,0,0,0,0,0,3.6182688139775274e-09,2.5386240872261684e-09,2.87905260467029e-09,2.0182547819901526e-09,3.6766279883965194e-09,4.196997293632535e-09,7.82985590121481e-09,7.23167436342014e-09,0,0,0,0,0,0,0,0,2.0182547819901526e-09,2.5386240872261684e-09,3.6766279883965194e-09,3.6766279883965194e-09,3.6766279883965194e-09,4.196997293632535e-09,6.852339729696688e-09,6.399510519822613,0,0,0,0,0,0,0,0,0
2025-04-02 07:19:03,0,0,1,0,0,0,0,1,0,0,1,1.3,1.995019511707024e-09,2.621807251017277e-09,2.8893386031618973e-09,2.8893386031618973e-09,3.2982793842972447e-09,3.798945200453606e-09,4.884358114868921e-09,2.9581323794276562e-09,2.9581323794276562e-09,2.9581323794276562e-09,3.5849201187379095e-09,3.852451470882529e-09,3.852451470882529e-09,5.029589420318858e-09,5.847470982589554e-09,2.8434760856513907e-09,1.995019511707024e-09,2.2625508638516444e-09,1.5860787305716764e-09,2.8893386031618973e-09,3.2982793842972447e-09,6.153221099326262e-09,5.683130294843573e-09,3.890670235474618e-09,3.531413848308985e-09,3.1033636848775935e-09,2.3351665165766127e-09,3.3708950370222133e-09,5.041055049696485e-09,6.672996297778667e-09,5.098383196584618e-09,1.5860787305716764e-09,1.995019511707024e-09,2.8893386031618973e-09,2.8893386031618973e-09,2.8893386031618973e-09,3.2982793842972447e-09,5.385023931025281e-09,5.807069575078382,8.468703889000066,10.147423787605895,10.060454272563538,6.117909412314054,0,0,0,0,0
2025-04-02 07:19:13,0,0,1,2,0,0,0,1,1.4,0,1,1.6,4.3970902611066653e-08,4.5049938008160204e-09,4.748131477035852e-09,4.748131477035852e-09,5.119784782114737e-09,5.81793725240311e-09,4.940306377997095e-08,4.049979006747479e-09,3.806841330527647e-09,1.8818856139414954e-08,4.5049938008160204e-09,4.748131477035852e-09,4.3959924868853926e-08,5.0376822708277765e-08,2.3146706776127956e-08,0.000003845593118905782,5.6060601345544e-09,3.806841330527647e-09,4.112500123489721e-09,5.005162734753959e-09,5.196246480542959e-08,2.336205728935124e-08,0.000003903889269731187,0.000003869044387392192,4.522360777688865e-09,4.5049938008160204e-09,3.806841330527647e-09,4.748131477035852e-09,5.559906715864971e-08,0.000003929118096677631,1.980530042579256e-08,3.806841330527647e-09,3.5637036543078164e-09,1.6439580307835178e-08,4.748131477035852e-09,4.748131477035852e-09,5.119784782114737e-09,1.9322498468727465e-08,9.151162087667823,13.103317329065531,15.243552947452656,13.308723215079578,8.841965857562016,0,0,0,0,0
2025-04-02 07:19:23,4.4,4,4.846153846153846,6.444444444444445,4.333333333333333,13.4,10.3,723.3076923076923,1107.5555555555557,7.333333333333333,1,1.8,1.519506740762967e-07,5.92573231565524e-09,6.156690702122873e-09,6.156690702122873e-09,6.509727092866252e-09,8.637843653889431e-09,1.5894094487368624e-07,5.0315934194734085e-09,6.496529470782388e-09,1.703900109602514e-07,5.92573231565524e-09,4.696556022303903e-08,9.616074271330818e-08,1.6492607602163713e-07,2.10491969636353e-07,0.000007853169540711293,7.742575888280449e-08,7.032320551929923e-08,6.456014406687837e-08,7.037046941548105e-08,1.1579961430750382e-07,2.1056208065578146e-07,0.00000814172887901216,0.000007883641976720928,6.715216100317556e-08,5.92573231565524e-09,6.971643865801516e-09,6.156690702122873e-09,1.8160378003650644e-07,0.000008171947797947977,7.840738837629918e-08,5.0315934194734085e-09,5.0315934194734085e-09,9.536365322264729e-08,6.889158727777362e-09,6.156690702122873e-09,3.726563419431734e-08,7.743870156444045e-08,12.252963268572,18.79999099842473,20.978881054184487,18.836075563223567,12.483713149801217,0,0,0,0,0
2025-04-02 07:19:33,11.833333333333334,9.944444444444445,11.55,11,7,47.5,39,1041.7,1210.6470588235295,24.571428571428573,1,2,2.7349502764886823e-07,6.267669493785673e-09,6.501040166426629e-09,6.501040166426629e-09,6.857763908892091e-09,2.91980050141356e-08,2.98315715847869e-07,5.364191603989973e-09,5.219168400277378e-08,3.417728196511443e-07,3.767936203125834e-08,1.5486459522412478e-07,2.639912012588681e-07,3.171319637808716e-07,5.58147080866272e-07,0.000011617340798527764,1.5000919702707988e-07,1.3604483384008108e-07,1.3861984050781458e-07,1.6180206699738623e-07,1.8097235913301683e-07,5.377758668053554e-07,0.000012271982100247147,0.000011724611966359062,1.8945768033996555e-07,5.987624686616527e-09,5.125820131220995e-08,6.220995359257481e-09,3.2336848918049106e-07,0.000012391658982770575,1.5444889048914496e-07,5.084146796820825e-09,5.084146796820825e-09,2.034327323482868e-07,3.0438203445884674e-08,6.220995359257481e-09,9.542965630056366e-08,1.475336391600434e-07,12.667048061023099,20.32672480930282,22.075111751213527,18.88357977276364,12.486227129674083,0,0,0,0,0
2025-04-02 07:19:43,19.142857142857142,18.217391304347824,19.44,22.823529411764707,17.285714285714285,83,76.82608695652173,1211.36,1762.6470588235295,63.285714285714285,1,2,3.847757305057698e-07,6.334346828825945e-09,2.232357177148344e-08,5.054141996052702e-09,2.255694244412439e-08,9.91633562481108e-08,4.7678761790775405e-07,8.924761295140558e-09,1.1108588413034975e-07,5.925645990580716e-07,9.706713218559416e-08,2.520323618445619e-07,3.949267719501787e-07,4.870717788179442e-07,0.0000010517414564108034,0.000015544821070093435,2.2131278776826514e-07,2.001899258881421e-07,2.8371020352145226e-07,3.397149627273697e-07,2.4429447644956523e-07,0.000001035485426668267,0.00001665636734599758,0.000015636762808882755,3.0840959136795227e-07,6.827759108123967e-09,9.099393719661813e-08,3.149837307302502e-08,4.5745255868716773e-07,0.000016765434827016766,3.084205797372024e-07,5.287512668693658e-09,4.618405611564518e-08,3.1244196371419434e-07,9.91944194404438e-08,6.054302021656799e-09,1.54032169702708e-07,3.001118809009441e-07,15.008457550550933,24.786014991637355,27.723103068895963,23.4158455161224,15.230097851272735,0,0,0,0,0
2025-04-02 07:19:53,18.5,22.4375,21.76923076923077,20.548387096774192,16.214285714285715,82.33333333333333,93.625,1056.3333333333333,1290.8709677419354,63.07142857142857,1,2.2,5.073353515859366e-07,7.89635081263416e-09,8.21335817678404e-08,5.6431076090289725e-09,8.21335817678404e-08,1.5820098907154828e-07,6.587992236977188e-07,5.0157993680252795e-08,2.06716431453853e-07,9.165934892604295e-07,1.5180183637098962e-07,3.4787123226182066e-07,4.97500836410988e-07,6.698911409099193e-07,0.0000015575510878453756,0.0000189550579544596,2.775053532303153e-07,2.332244662435725e-07,4.045164104546929e-07,6.217372380660329e-07,3.0988052877884884e-07,0.0000015367655452670783,0.00002062740056442187,0.00001905037325895853,3.929156045980383e-07,4.943135607909017e-09,1.2623932976014293e-07,9.587462612606608e-08,5.655186894746432e-07,0.000020741075591643002,5.833402423903043e-07,6.169753209871606e-09,1.8303284813051923e-07,3.831665928918399e-07,1.5942820687172512e-07,6.857392370971829e-08,2.0911802550120217e-07,5.664950430871654e-07,17.283091870267178,28.115959422774687,32.238420631518785,29.07343534790684,18.786650092870406,0,0,0,0,0
2025-04-02 07:20:03,20,28.96969696969697,28.217391304347824,27.82857142857143,19.85,95.41666666666667,120.3529411764706,1081.1739130434783,1307.945945945946,78.15,1,2.4,5.800293025806151e-07,3.7025926148143706e-08,1.390711497436718e-07,4.906568535295961e-09,1.410432276354473e-07,1.8972087808243834e-07,7.919354601241309e-07,1.6408183952987607e-07,3.254519184616308e-07,0.0000012200615179363081,2.0777881025712823e-07,4.65846790230862e-07,5.710599496343407e-07,7.987027854442911e-07,0.0000019447341641500502,0.000021716632334019984,3.1750885098964693e-07,2.3363170119930935e-07,5.371346194742772e-07,8.997227763778058e-07,3.626994126784131e-07,0.0000019378384787304252,0.000024210429124750837,0.000021740631854029586,4.386192861142777e-07,3.886588934887969e-09,1.8774296564068722e-07,1.5878025956147547e-07,5.863042270821251e-07,0.000024239535209295813,9.474808750491656e-07,7.66651333639994e-09,3.887607159523476e-07,4.599102692946141e-07,1.9218305817216995e-07,1.4114241498503365e-07,3.0572923524862837e-07,9.361859389478877e-07,19.031691106305132,30.981677396772213,35.75356131161476,31.927551952462508,21.352767617166503,0,0,0,0,0
2025-04-02 07:20:13,16.1875,27.238095238095237,28,28,20.48,59.11764705882353,108.175,1225.6170212765958,1417.475,84.12,1,2.6,5.995753248398302e-07,7.675820183070328e-08,1.955421681211402e-07,2.331713300932685e-08,2.2564907692598295e-07,1.8959301991595389e-07,9.267452015706982e-07,1.6403493797653733e-07,3.253366697889514e-07,0.0000012024540490809816,2.0771329443255533e-07,4.641675267394237e-07,5.45787582418315e-07,7.283278998913312e-07,0.0000019362573415357197,0.000021219267718687708,3.2425648512970264e-07,1.8762041907504814e-07,6.826816363549492e-07,0.0000011892094082437206,3.531170623412468e-07,0.0000022962624539713016,0.000024200010666880006,0.00002125810182870324,5.513314905742558e-07,3.002393381200957e-08,2.2704128843687986e-07,2.2219495095457462e-07,4.6736601398694646e-07,0.000024252638386101053,0.0000013657577190432696,5.985119702394048e-08,5.930292150843016e-07,5.143602872057441e-07,2.52410909940421e-07,2.117450529566147e-07,3.507108118273476e-07,0.0000013479510717992138,21.319607076184546,34.13576347527188,38.60411710670578,34.570929860432045,23.12496903428453,0,0,0,0,0
2025-04-02 07:20:23,19.166666666666668,27.238095238095237,29.733333333333334,28,23.916666666666668,64.5,108.175,1225.6170212765958,1417.475,84.12,1,2.8,4.587408251834963e-07,7.647513716392338e-08,1.9552661213442402e-07,2.3036205942547815e-08,2.2563289000886655e-07,1.8059305480557054e-07,7.654646907061859e-07,3.501538555895549e-07,4.2955144263781387e-07,0.000001231252041625834,2.560848783024339e-07,4.752071625234162e-07,4.883335666620001e-07,7.609314480377059e-07,0.0000020103197936041278,0.000016811867095991412,2.4037852576281806e-07,1.116810997113391e-07,6.24677506449871e-07,0.0000011772997873375866,2.771711232442018e-07,0.000002020059598808024,0.000019370359259481477,0.00001676254141583835,4.166550002333286e-07,3.002273287867576e-08,1.994060118797624e-07,2.2219055418891625e-07,3.030172729878736e-07,0.000019320373592528148,0.0000013620565798684025,5.984880302393953e-08,5.930170469923935e-07,3.896755398225368e-07,2.50064998700026e-07,2.117408751824963e-07,2.933174669839936e-07,0.0000013445348603027938,23.9690622343564,36.86115668096766,40.16267128699009,36.64556328943026,24.504562719390357,0,0,0,0,0
