timestamp,Average Flow Duration - s1,Average Flow Duration - s2,Average Flow Duration - s3,Average Flow Duration - s4,Average Flow Duration - s5,Average Packets Per Flow - s1,Average Packets Per Flow - s2,Average Packets Per Flow - s3,Average Packets Per Flow - s4,Average Packets Per Flow - s5,Bridge Controller Status,CPU Utilization,Interface Utilization Percentage - s1-eth1,Interface Utilization Percentage - s1-eth2,Interface Utilization Percentage - s1-eth3,Interface Utilization Percentage - s1-eth4,Interface Utilization Percentage - s1-eth5,Interface Utilization Percentage - s1-eth6,Interface Utilization Percentage - s1-eth7,Interface Utilization Percentage - s2-eth1,Interface Utilization Percentage - s2-eth2,Interface Utilization Percentage - s2-eth3,Interface Utilization Percentage - s2-eth4,Interface Utilization Percentage - s2-eth5,Interface Utilization Percentage - s2-eth6,Interface Utilization Percentage - s2-eth7,Interface Utilization Percentage - s2-eth8,Interface Utilization Percentage - s3-eth1,Interface Utilization Percentage - s3-eth2,Interface Utilization Percentage - s3-eth3,Interface Utilization Percentage - s3-eth4,Interface Utilization Percentage - s3-eth5,Interface Utilization Percentage - s3-eth6,Interface Utilization Percentage - s3-eth7,Interface Utilization Percentage - s3-eth8,Interface Utilization Percentage - s4-eth1,Interface Utilization Percentage - s4-eth2,Interface Utilization Percentage - s4-eth3,Interface Utilization Percentage - s4-eth4,Interface Utilization Percentage - s4-eth5,Interface Utilization Percentage - s4-eth6,Interface Utilization Percentage - s4-eth7,Interface Utilization Percentage - s4-eth8,Interface Utilization Percentage - s5-eth1,Interface Utilization Percentage - s5-eth2,Interface Utilization Percentage - s5-eth3,Interface Utilization Percentage - s5-eth4,Interface Utilization Percentage - s5-eth5,Interface Utilization Percentage - s5-eth6,Interface Utilization Percentage - s5-eth7,Rate of Packet in Messages - s1,Rate of Packet in Messages - s2,Rate of Packet in Messages - s3,Rate of Packet in Messages - s4,Rate of Packet in Messages - s5,Rate of Port Flapping - s1,Rate of Port Flapping - s2,Rate of Port Flapping - s3,Rate of Port Flapping - s4,Rate of Port Flapping - s5
2025-04-02 07:45:48,0,0,0,0,0,0,0,0,0,0,1,4.7,7.84e-09,7.62e-09,7.62e-09,5.883333333333334e-09,7.183333333333333e-09,4.573333333333334e-09,8.326666666666666e-09,7.62e-09,8.29e-09,7.62e-09,6.593333333333334e-09,5.6700000000000005e-09,3.893333333333333e-09,7.47e-09,1.7733333333333334e-09,8.29e-09,7.62e-09,7.853333333333334e-09,7.263333333333333e-09,4.806666666666666e-09,5.816666666666667e-09,2.84e-09,2.0066666666666668e-09,7.62e-09,7.853333333333334e-09,7.496666666666667e-09,8.086666666666667e-09,6.593333333333334e-09,5.803333333333333e-09,2.0066666666666668e-09,5.396666666666667e-09,8.086666666666667e-09,7.853333333333334e-09,7.62e-09,6.426666666666667e-09,4.806666666666666e-09,4.506666666666667e-09,6.24e-09,31.517857142857142,41.75,47.99285714285714,43.09285714285714,40.667857142857144,0,0,0,0,0
2025-04-02 07:45:58,0,1.6,2,1.375,1.8,0,3.8,3.3333333333333335,1.5,2,1,4.8,1.1214903419812108e-08,1.1214903419812108e-08,1.1214903419812108e-08,1.0981537415238134e-08,1.0981537415238134e-08,1.0981537415238134e-08,1.746244474226392e-08,1.1721641029744166e-08,1.7409103941218442e-08,1.1214903419812108e-08,1.0981537415238134e-08,1.0981537415238134e-08,1.1214903419812108e-08,1.746244474226392e-08,2.4643450083011627e-08,1.1674967828829372e-08,1.093486421432334e-08,1.7375765940565016e-08,1.2448409443988828e-08,1.2215043439414853e-08,1.1168230218897313e-08,2.4876816087585595e-08,2.0869588409043935e-08,1.0668160209095942e-08,1.0888191013408544e-08,1.1394928623340601e-08,1.0944865614519367e-08,1.0421459004260597e-08,1.0421459004260597e-08,2.0869588409043935e-08,1.9602744384213792e-08,1.1908333833403344e-08,1.065482500883457e-08,1.0421459004260597e-08,1.0701498209749367e-08,1.3448549463591571e-08,1.0421459004260597e-08,1.936937837963982e-08,27.811983677749378,39.529372807516786,43.392627392544604,40.84011989886551,38.4014404420667,0,0,0,0,0
2025-04-02 07:46:08,5.4,6,8.833333333333334,8.846153846153847,8.7,5.6,14,16.333333333333332,12.923076923076923,14.9,1,4.7,1.2543333333333334e-08,1.1803333333333336e-08,2.0543333333333337e-08,1.1803333333333336e-08,1.2543333333333334e-08,1.1803333333333336e-08,2.9073333333333334e-08,1.529e-08,8.478333333333334e-08,1.1803333333333336e-08,1.1803333333333336e-08,1.1803333333333336e-08,1.1803333333333336e-08,2.9073333333333334e-08,8.855333333333334e-08,1.3496666666666667e-08,1.3530000000000001e-08,7.742333333333333e-08,1.3776666666666666e-08,7.624333333333335e-08,1.3003333333333333e-08,8.968666666666666e-08,9.161333333333334e-08,1.2723333333333333e-08,1.1476666666666667e-08,1.5470000000000002e-08,1.1533333333333334e-08,1.1243333333333334e-08,1.1243333333333334e-08,9.071333333333333e-08,8.526666666666668e-08,3.525666666666667e-08,1.1770000000000002e-08,1.1243333333333334e-08,1.1243333333333334e-08,5.7443333333333336e-08,1.1243333333333334e-08,8.639999999999999e-08,32.393103448275866,53.862068965517246,58.09655172413794,53.331034482758625,42.70689655172414,0,0,0,0,0
2025-04-02 07:46:18,8.375,16,14.153846153846153,12.652173913043478,14.384615384615385,16.875,62.90909090909091,41.15384615384615,32.26086956521739,51.46153846153846,1,4.7,1.3893055472223887e-08,1.2906408538495897e-08,8.171169909935134e-08,1.3959720805583889e-08,1.4139717205655886e-08,1.2906408538495897e-08,9.109151150310327e-08,2.842143157136857e-07,2.0120264261381437e-07,1.2626414138383898e-08,1.2626414138383898e-08,1.2626414138383898e-08,1.2626414138383898e-08,8.859156150210329e-08,4.154116917661646e-07,2.6692799477343785e-08,3.414598374699173e-08,1.5681686366272676e-07,1.4846369739271882e-08,1.7955640887182255e-07,3.389932201355973e-08,4.324346846396406e-07,5.109697806043879e-07,1.379305747218389e-08,1.3299734005319893e-08,5.4685572955207565e-08,2.109624474177183e-08,1.25930814717039e-08,1.2359752804943901e-08,4.92703479263748e-07,4.3893122137557246e-07,3.474197182723012e-07,3.224602174623174e-08,1.2346419738271902e-08,1.2346419738271902e-08,1.1120444257781512e-07,1.2346419738271902e-08,4.709305813883722e-07,34.830914376157324,56.15842703990676,59.86186254530158,53.03429988172455,42.99985172464923,0,0,0,0,0
2025-04-02 07:46:28,10,14.833333333333334,16.857142857142858,16.16,16.055555555555557,37.22222222222222,96.22222222222223,88.21428571428571,87.44,99.94444444444444,1,4.7,7.169722319454168e-09,6.090252428020581e-09,1.383090236801458e-07,6.203596679112355e-08,9.777225604504895e-09,9.423480403595915e-09,1.982979511840073e-07,9.448059372603927e-07,3.64354549482726e-07,5.783916377748885e-09,6.907148562078429e-09,9.762638173539576e-09,1.0357075985376316e-08,1.9622275908146373e-07,0.0000011364270102010202,1.4063926128723984e-07,8.647834894600571e-08,2.580198003133647e-07,8.872804884655131e-09,2.804820157015702e-07,8.45666504150415e-08,0.0000011394180009667633,0.0000013963393000411155,7.060316587214277e-09,7.060316587214277e-09,1.6398983189985667e-07,6.508681187563202e-08,5.7985046282406026e-08,7.718866539431722e-08,0.0000013932178448400394,0.0000012955062502083542,0.0000010426863252991966,1.2353985509662077e-07,5.477580327477192e-09,7.3301840600726735e-09,1.6061285656343413e-07,8.883745457879121e-09,0.0000013078301102332457,34.9136727114734,53.437746766390454,57.351526374046976,53.713607884110736,44.09639966758735,0,0,0,0,0
2025-04-02 07:46:38,14.5,19.791666666666668,21.38888888888889,20.28125,22.666666666666668,52.92857142857143,129.875,112.47222222222223,118.03125,145.85714285714286,1,4.7,7.113902445528977e-09,7.607275248686562e-09,2.1255262621009687e-07,1.483218263016597e-07,9.990799263941115e-09,7.270581646531723e-08,3.777227415971055e-07,0.0000016328054064325147,5.833931571192362e-07,5.847134437421661e-09,6.873883243992854e-09,9.977464863855776e-09,1.0027468864175802e-08,3.7351203929647704e-07,0.0000018209969193091003,3.565555701122757e-07,1.9440357428594293e-07,3.1883960916873354e-07,8.390671253700297e-09,3.2673915424345053e-07,1.322808730253976e-07,0.000001833417951880595,0.0000023226264896747298,7.44059524761981e-09,6.453849641304639e-09,2.72719226093643e-07,1.5801280802464198e-07,1.2166306637864363e-07,1.455092312940591e-07,0.000002312018241014837,0.000002140391869905148,0.000001713345019601568,2.881204216337307e-07,5.007067232045231e-09,6.947222444462224e-09,1.75846402823337e-07,8.894044856921889e-09,0.000002157767025362029,31.831144245324985,51.41397039300136,56.34502187938579,53.01397591026176,45.16567298507926,0,0,0,0,0
2025-04-02 07:46:48,22,24.4,20.825,22.555555555555557,27.58823529411765,82.6,166.6,126.74358974358974,139.75,217.23529411764707,1,4.7,4.3900878017560356e-09,1.8503703407401483e-08,3.150598353078172e-07,2.506401396916827e-07,7.076808202830724e-09,1.6897337946758936e-07,6.055117787911313e-07,0.0000023627721759990754,8.489960665879985e-07,2.843390201137356e-09,3.3100662013240266e-09,6.270125402508051e-09,4.0500810016200325e-09,5.954977520661525e-07,0.0000025919110872217445,5.929857217144343e-07,3.112989060892329e-07,3.9655411652677507e-07,4.310086201724035e-09,3.2761347815845204e-07,1.8198697307279481e-07,0.000002607695800693792,0.00000336265902040263,6.743468202697388e-09,4.5234238018093695e-09,3.900087562862369e-07,3.0904864013946945e-07,2.310976148411857e-07,2.1721729190139364e-07,0.0000033487914786073504,0.0000030028111761124108,0.0000024105384308797287,4.78457495149903e-07,4.330086601732035e-09,5.31677300212671e-09,1.7178010226871204e-07,5.6101122022440455e-09,0.0000030439281180068046,34.853537592592595,54.296202370370374,60.974523555555564,55.83884392592593,46.94794962962963,0,0,0,0,0
2025-04-02 07:46:58,22,27.82758620689655,20.825,22.555555555555557,27.58823529411765,82.6,184.68965517241378,126.74358974358974,171.89743589743588,217.23529411764707,1,4.7,3.2933333333333335e-09,9.222666666666667e-08,3.8075333333333334e-07,3.5069056444444444e-07,5.760000000000001e-09,2.6513187911111106e-07,8.503365360000001e-07,0.000003086029581333333,0.0000010516866666666665,3.506666666666666e-09,2.4866666666666664e-09,5.693333333333334e-09,3.72e-09,8.459911848888888e-07,0.0000033761973866666666,8.71134695111111e-07,4.7282797066666673e-07,4.3000666666666665e-07,3.2266666666666663e-09,3.147266666666667e-07,2.3317999999999997e-07,0.0000033862159466666673,0.0000044519340871111114,5.4133333333333345e-09,3.933333333333333e-09,4.699906524444444e-07,5.321076311111111e-07,3.794527742222223e-07,2.9096736711111113e-07,0.000004447538922666666,0.000003975653869333334,0.000003078078895111111,6.986103866666668e-07,6.676000000000001e-08,4.74e-09,1.2826e-07,5.2666666666666675e-09,0.000003987218863111111,36.55542134432286,56.97005226343297,66.09333649124468,59.77695956294506,48.41544092337328,0,0,0,0,0
2025-04-02 07:47:08,24.904761904761905,27.82758620689655,27.1,28.435897435897434,29.59090909090909,85.57142857142857,184.68965517241378,157.875,171.89743589743588,232.3181818181818,1,4.7,1.9434110697761244e-09,9.112697841246982e-08,3.1959611717802046e-07,3.5042231989279573e-07,4.163499873328266e-09,2.649950701361388e-07,7.998586610131071e-07,0.0000029374274970998835,9.353007453631478e-07,2.6834406709601717e-09,1.6633998693281063e-09,4.870194807792311e-09,2.8967825379681857e-09,7.97825246343187e-07,0.0000031185247409896397,8.694868991426325e-07,4.609217702041415e-07,3.5062402496099846e-07,2.156752936784138e-09,2.1141845673826953e-07,2.122918250063336e-07,0.0000031121011507126948,0.0000041456791604997534,4.343507073616278e-09,1.87674173633612e-09,4.37674173633612e-07,5.309129838526875e-07,3.792856810939105e-07,2.9082902616104646e-07,0.000004159213035188074,0.0000037199887995519822,0.0000028685314079229837,6.960502043415068e-07,6.56592930383882e-08,3.6368121391522325e-09,7.449964665253277e-08,4.163499873328266e-09,0.000003700201341386989,39.664667686656465,61.35880267863988,70.09683929827368,63.45411005889941,50.46344159891734,0,0,0,0,0
2025-04-02 07:47:18,23.8,27.88235294117647,27.058823529411764,30.83783783783784,31.142857142857142,80.44,187.55882352941177,154.41176470588235,205.02702702702703,264,1,4.7,2.4709505809883805e-08,2.0984580308393836e-07,3.0808383832323353e-07,4.080618387632248e-07,2.403285267627981e-09,3.90985872615881e-07,0.0000010257794844103118,0.0000030034832636680596,9.840903181936362e-07,3.916588334899969e-09,1.6633000673319866e-09,3.6365939347879713e-09,3.1432704679239755e-09,0.0000010223795524089518,0.000003244321780231062,0.0000010740151863629395,5.048999020019599e-07,3.364632707345853e-07,1.5556355539555876e-08,1.6354006253208268e-07,2.103791257508183e-07,0.000003251301640633854,0.000004388085571621901,5.183229668739958e-09,3.949921001579969e-09,3.617827643447131e-07,7.249155016899661e-07,4.3493463464064047e-07,2.2727878775757817e-07,0.000004384238981887029,0.0000037856042879142414,0.000002874532509349813,7.53648260368126e-07,1.4302047292387486e-07,4.476577135123964e-09,2.7082791677499787e-08,5.00323326866796e-09,0.0000037878709092484814,42.62159604829161,64.93517363326698,77.0406323114383,66.54980536693301,53.7599720320124,0,0,0,0,0
